Japan,27.0,10797,236
Italy,23.0,181228,24114
Germany,21.5,147065,4862
Portugal,21.5,20863,735
Finland,21.2,3868,98
Bulgaria,20.8,929,43
Greece,20.4,2245,116
Sweden,19.9,14777,1580
Latvia,19.8,739,5
Denmark,19.7,7711,364
