Gambia,4,1,0.25
Liberia,14,3,0.21428571428571427
Bahamas,29,5,0.1724137931034483
Sudan,12,2,0.16666666666666666
Mauritania,6,1,0.16666666666666666
Belize,7,1,0.14285714285714285
Guyana,31,4,0.12903225806451613
Angola,16,2,0.125
Italy,132547,16523,0.12465766860057187
Algeria,1423,173,0.12157413914265636
San Marino,266,32,0.12030075187969924
Mali,47,5,0.10638297872340426
United Kingdom,52279,5385,0.10300503070066375
Zimbabwe,10,1,0.1
Netherlands,18926,1874,0.09901722498150692
Spain,136675,13341,0.0976111212730931
Bangladesh,123,12,0.0975609756097561
France,98963,8926,0.09019532552570153
Indonesia,2491,209,0.08390204737053392
Belgium,20814,1632,0.07840876333237244
