China,82665,77310,0.9352204681545999
Maldives,19,13,0.6842105263157895
South Korea,10284,6598,0.6415791520809023
Brunei,135,82,0.6074074074074074
Bahrain,756,458,0.6058201058201058
Gambia,4,2,0.5
Cambodia,114,53,0.4649122807017544
Senegal,226,92,0.40707964601769914
Iran,60500,24236,0.40059504132231405
Bhutan,5,2,0.4
Eswatini,10,4,0.4
Togo,58,23,0.39655172413793105
Venezuela,165,65,0.3939393939393939
Peru,2561,997,0.3893010542756736
Vietnam,245,95,0.3877551020408163
Switzerland,21657,8056,0.37198134552338735
Jordan,349,126,0.36103151862464183
Thailand,2220,793,0.3572072072072072
Iraq,1031,344,0.33365664403491757
Mauritania,6,2,0.3333333333333333
