Country,Confirmed,Death
Bhutan,5,0
Somalia,7,0
Chad,9,0
Eswatini,10,0
Mozambique,10,0
Seychelles,11,0
Grenada,12,0
Laos,12,0
Fiji,14,0
Dominica,15,0
Equatorial Guinea,16,0
Namibia,16,0
Guinea-Bissau,18,0
Maldives,19,0
Eritrea,31,0
Madagascar,82,0
Djibouti,90,0
Cambodia,114,0
Guinea,128,0
Vietnam,245,0
